paper_id,title,reference,venue,year,n_citation,author
0,Generalized upper bounds on the minimum distance of PSK block codes,-1,Ima Journal of Mathematical Control and Information,2015,0,Efraim Laksman
1,Applying BCMP multi-class queueing networks for the performance evaluation of hierarchical and modular software systems,-1,International Journal of Computer Aided Engineering and Technology,2015,6,Simonetta Balsamo
2,Evaluation of high-altitude balloons as a learning technology,-1,International Journal of Learning Technology,2015,0,Jeremy Straub
3,Strategic Design of the Purchase System Toward R&D Supply Chain Based on SNA,-1,International Journal of Information Systems and Supply Chain Management,2015,0,LiYing Cheng
4,Information systems for the age of consequences,-1,First Monday,2015,4,M. Six Silberman
5,Distributed Multi Class SVM for Large Data Sets,-1,"arXiv: Distributed, Parallel, and Cluster Computing",2015,3,Aruna Govada
6,A survey of single and multi-hop link schedulers for mmWave wireless systems,-1,ad hoc networks,2015,6,Jian Song
7,Perfect Output Feedback in the Two-User Decentralized Interference Channel,-1,IEEE Transactions on Information Theory,2015,50,Samir Medina Perlaza
8,Map-Aided Evidential Grids for Driving Scene Understanding,-1,IEEE Intelligent Transportation Systems Magazine,2015,4,Marek Kurdej
9,Stochastic processes via the pathway model,-1,Entropy,2015,2,A. M. Mathai
10,DIY interface for enhanced service customization of remote IoT devices: a CoAP based prototype,-1,International Journal of Distributed Sensor Networks,2015,1,Muhammad Sohail Khan
11,Interpretable classifiers using rules and Bayesian analysis: Building a better stroke prediction model,-1,The Annals of Applied Statistics,2015,146,Benjamin Letham
12,Assessment of an Operational System for Crop Type Map Production Using High Temporal and Spatial Resolution Satellite Optical Imagery,-1,Remote Sensing,2015,46,Jordi Inglada
13,The effect of a stand-alone ethics course in Chilean engineering students' attitudes,-1,IEEE Communications Magazine,2015,0,Ruth I. Murrugarra
14,Debugging the Internet of Things: The Case of Wireless Sensor Networks,-1,IEEE Software,2015,3,Patrick Eugster
15,Efficient Blind Compressed Sensing Using Sparsifying Transforms with Convergence Guarantees and Application to MRI,-1,arXiv: Learning,2015,4,Saiprasad Ravishankar
17,Modeling the faulty behaviour of digital designs using a feed forward neural network approach,-1,international symposium on circuits and systems,2015,0,Zeynab Mirzadeh
18,A fast and efficient algorithm to map prerequisites of landslides in sensitive clays based on detailed soil and topographical information,-1,Computers & Geosciences,2015,0,Ari Tryggvason
19,GWAT: The Geneva Affective Picture Database WordNet Annotation Tool,-1,arXiv: Human-Computer Interaction,2015,0,Marko Horvat
20,Quality Dimensions of the DeLone-McLean Model to Measure User Satisfaction: An Empirical Test on the Information Security Context,-1,hawaii international conference on system sciences,2015,1,Gustavo Percio Zimmermann Montesdioca
21,How to Find Hidden Users: A Survey of Attacks on Anonymity Networks,-1,IEEE Communications Surveys and Tutorials,2015,2,Esra Erdin
22,SuperFly: a comparative database for quantified spatio-temporal gene expression patterns in early dipteran embryos,-1,Nucleic Acids Research,2015,12,Damjan Cicin-Sain
24,Semantic Enrichment of GSM-Based Artifact-Centric Models,-1,Journal on Data Semantics,2015,9,Riccardo De Masellis
26,PBM Competition in Pharmaceutical Supply Chain: Formulary Design and Drug Pricing,-1,Manufacturing & Service Operations Management,2015,0,Panos Kouvelis
27,On the covariances of outdegrees in random plane recursive trees,-1,Journal of Applied Probability,2015,0,Hüseyin Acan
28,Determining minimum set of driver nodes in protein-protein interaction networks,-1,BMC Bioinformatics,2015,50,Xiao-Fei Zhang
29,Sociomateriality and Design,-1,conference on computer supported cooperative work,2015,3,Carsten S. Østerlund
30,Wavelet packet transform-based compression for teleoperation,-1,"Proceedings of the Institution of Mechanical Engineers, Part I: Journal of Systems and Control Engineering",2015,2,Ahmet Kuzu
32,A Locality Sensitive Hashing Filter for Encrypted Vector Databases,-1,Fundamenta Informaticae,2015,0,Junpei Kawamoto
33,"(G1,G2)-permutation graphs",-1,"Discrete Mathematics, Algorithms and Applications",2015,0,Behrooz Bagheri Gh
34,Coordinated multi-point transmission for relaxation of self-backhauling bottlenecks in heterogeneous networks,-1,Eurasip Journal on Wireless Communications and Networking,2015,2,Beneyam B. Haile
35,Hilberg Exponents: New Measures of Long Memory in the Process,-1,IEEE Transactions on Information Theory,2015,0,Lukasz Debowski
36,Multivariate Detection of Transient Disturbances for Uni- and Multirate Systems,-1,IEEE Transactions on Control Systems and Technology,2015,1,Inês M. Cecílio
37,On efficient and reliable stochastic generation of RVEs for analysis of composites within the framework of homogenization,-1,Computational Mechanics,2015,11,Vladimir Salnikov
39,Set membership identification of switched linear systems with known number of subsystems,-1,Automatica,2015,20,Necmiye Ozay
40,Conic approach to quantum graph parameters using linear optimization over the completely positive semidefinite cone,-1,Siam Journal on Optimization,2015,5,Monique Laurent
41,An electrophysiological dissociation between orbitofrontal reality filtering and context source monitoring,-1,Journal of Cognitive Neuroscience,2015,50,Aurélie Bouzerda-Wahlen
42,Design and evaluation of a computed tomography (CT)-compatible needle insertion device using an electromagnetic tracking system and CT images,-1,computer assisted radiology and surgery,2015,12,Navid Shahriari
43,COSMIC: exploring the world's knowledge of somatic mutations in human cancer,-1,Nucleic Acids Research,2015,1334,Simon Forbes
44,"Development of a Novel, Low-Cost, Disposable Wooden Pencil Graphite Electrode for Use in the Determination of Antioxidants and Other Biological Compounds",-1,Sensors,2015,2,James Kariuki
45,Router-level community structure of the Internet Autonomous Systems,-1,EPJ Data Science,2015,0,Mariano G. Beiró
46,Voice conversion using speaker-dependent conditional restricted Boltzmann machine,-1,"Eurasip Journal on Audio, Speech, and Music Processing",2015,1,Toru Nakashika
47,Strategic Teaching and Learning in Games,-1,arXiv: Computer Science and Game Theory,2015,4,Burkhard C. Schipper
48,A Methodology for Word Sense Disambiguation at 90% based on large-scale CrowdSourcing,-1,north american chapter of the association for computational linguistics,2015,3,Oier Lopez de Lacalle
49,Topology design for optimal network coherence,-1,arXiv: Optimization and Control,2015,50,Tyler H. Summers
51,Evolved user equipment for collaborative wireless backhauling in next generation cellular networks,-1,"sensor, mesh and ad hoc communications and networks",2015,50,Apostolos Apostolaras
52,On balancing energy efficiency for network operators and mobile users in dynamic planning,-1,IEEE Communications Magazine,2015,4,Muhammad Ismail
53,Oblivious Secure Deletion with Bounded History Independence,-1,arXiv: Cryptography and Security,2015,1,Daniel S. Roche
54,Distance Metric Learning Using Privileged Information for Face Verification and Person Re-Identification,-1,IEEE Transactions on Neural Networks,2015,8,Xinxing Xu
55,Reflections on science gateways sustainability through the business model canvas: case study of a neuroscience gateway,-1,Concurrency and Computation: Practice and Experience,2015,4,Shayan Shahand
56,Remote three-factor authentication scheme based on Fuzzy extractors,-1,Security and Communication Networks,2015,50,Min Zhang
